width,length,type,region,model,height-min,height-max,stories,shape,library,tags
16.0,06.0,residential,,objects/Blacky75/New-Black/RES_16x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
17.0,06.0,residential,,objects/Blacky75/New-Black/RES_17x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
17.0,06.0,residential,,objects/Blacky75/New-Black/RES_17x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
17.0,06.0,residential,,objects/Blacky75/New-Black/RES_17x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
17.0,06.0,residential,,objects/Blacky75/New-Black/RES_17x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
18.0,06.0,residential,,objects/Blacky75/New-Black/RES_18x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
18.0,06.0,residential,,objects/Blacky75/New-Black/RES_18x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
18.0,06.0,residential,,objects/Blacky75/New-Black/RES_18x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
18.0,06.0,residential,,objects/Blacky75/New-Black/RES_18x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
19.0,06.0,residential,,objects/Blacky75/New-Black/RES_19x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
19.0,06.0,residential,,objects/Blacky75/New-Black/RES_19x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
19.0,06.0,residential,,objects/Blacky75/New-Black/RES_19x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
19.0,06.0,residential,,objects/Blacky75/New-Black/RES_19x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
20.0,06.0,residential,,objects/Blacky75/New-Black/RES_20x06_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
20.0,06.0,residential,,objects/Blacky75/New-Black/RES_20x06_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
20.0,06.0,residential,,objects/Blacky75/New-Black/RES_20x06_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
20.0,06.0,residential,,objects/Blacky75/New-Black/RES_20x06_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_RoofBlack_Type2.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_RoofBlack_Type3.obj,,,2,SQ,Blacky75,black;new
12.0,07.0,residential,,objects/Blacky75/New-Black/RES_12x07_RoofBlack_Type4.obj,,,2,SQ,Blacky75,black;new
13.0,07.0,residential,,objects/Blacky75/New-Black/RES_13x07_RoofBlack_Type1.obj,,,2,SQ,Blacky75,black;new
